id,lat,long,site,half,date,season,stream,dist,cfs,ls,TP,PP,TDP,DRP,DOP
88,40.36189332,-111.4079966,LHC03,Upper,2016-02-20,Winter,L,8,1.33,37.7,0.38,0,0.38,0,0.38
89,40.37567584,-111.4246417,LHC04,Upper,2016-02-20,Winter,L,10.4,0.74,21,0.34,0.03,0.31,0,0.31
90,40.34765666,-111.4028916,LHC02,Upper,2016-02-20,Winter,L,6.58,no_access,no_access,no_access,no_access,no_access,no_access,no_access
91,40.38636757,-111.4226418,SC01,Lower,2016-02-20,Winter,S,0.12,2.77,78.4,1.96,0,1.96,1.96,0
92,40.38997727,-111.4316945,SC03,Lower,2016-02-20,Winter,S,1.11,1.48,41.9,1.62,0.01,1.61,0.38,1.23
93,40.39821756,-111.4380473,SC04,Lower,2016-02-20,Winter,S,2.37,1.45,41.1,2.4,0.95,1.45,0.62,0.83
94,40.40197848,-111.4505074,SC06,Lower,2016-02-20,Winter,S,4.13,6.34,179.5,7.77,1.44,6.34,2.96,3.38
95,40.40300907,-111.4591105,SC07,Lower,2016-02-20,Winter,S,5.17,9.31,263.6,45.92,14.76,31.16,15.42,15.74
96,40.33435765,-111.3794539,MC01,Upper,2016-05-03,Spring,M,9.11,9.01,255.1,5.33,1.76,3.57,0,3.57
97,40.35729228,-111.394846,MC02,Upper,2016-05-03,Spring,M,12.1,0,0,0,0,0,0,0
98,40.36984777,-111.4035923,MC03,Upper,2016-05-03,Spring,M,13.8,0.61,17.3,0.35,0,0.35,0,0.35
99,40.37932339,-111.4215613,MC04,Upper,2016-05-03,Spring,M,15.9,0,0,0,0,0,0,0
100,40.38604147,-111.4347176,MC05,Upper,2016-05-03,Spring,M,17.5,1.65,46.7,1.17,0.37,0.8,0,0.8
101,40.39472968,-111.4455208,MC06,Lower,2016-05-03,Spring,M,19.6,no_access,no_access,no_access,no_access,no_access,no_access,no_access
102,40.4018619,-111.459279,MC07,Lower,2016-05-03,Spring,M,21.8,4.85,137.3,7.84,0.23,7.61,3.3,4.31
103,40.40413866,-111.4654134,MC08,Lower,2016-05-03,Spring,M,22.4,6.01,170.2,10.76,4.71,6.04,3.83,2.21
104,40.40631407,-111.4723729,MC09,Lower,2016-05-03,Spring,M,23.2,7.64,216.3,14.28,8.09,6.19,1.95,4.24
105,40.40965002,-111.4784938,MC10,Lower,2016-05-03,Spring,M,24,10.09,285.7,15.71,7.83,7.89,3,4.89
106,40.34323751,-111.4098996,LHC01,Upper,2016-05-03,Spring,L,5.53,3.36,95.1,3.49,1.4,2.09,0,2.09
107,40.36189332,-111.4079966,LHC03,Upper,2016-05-03,Spring,L,8,3.28,92.9,2.79,1.2,1.59,0,1.59
108,40.37567584,-111.4246417,LHC04,Upper,2016-05-03,Spring,L,10.4,2.12,60,1.8,0.32,1.48,0,1.48
109,40.34765666,-111.4028916,LHC02,Upper,2016-05-03,Spring,L,6.58,0.93,26.3,0.57,0.15,0.42,0,0.42
110,40.38636757,-111.4226418,SC01,Lower,2016-05-03,Spring,S,0.12,2.33,66,1.98,0.15,1.83,1.39,0.45
111,40.38997727,-111.4316945,SC03,Lower,2016-05-03,Spring,S,1.11,0,0,0,0,0,0,0
112,40.39821756,-111.4380473,SC04,Lower,2016-05-03,Spring,S,2.37,0.55,15.6,0.65,0.38,0.27,0.14,0.13
113,40.40197848,-111.4505074,SC06,Lower,2016-05-03,Spring,S,4.13,2.5,70.8,3.34,2.63,0.71,0.64,0.07
114,40.40300907,-111.4591105,SC07,Lower,2016-05-03,Spring,S,5.17,2.52,71.4,6.01,4.87,1.13,0.86,0.28
115,40.33435765,-111.3794539,MC01,Upper,2016-07-28,Summer,M,9.11,0.97,27.5,0.33,0.33,0,0,0
116,40.35729228,-111.394846,MC02,Upper,2016-07-28,Summer,M,12.1,0,0,0,0,0,0,0
117,40.36984777,-111.4035923,MC03,Upper,2016-07-28,Summer,M,13.8,0,0,0,0,0,0,0
118,40.37932339,-111.4215613,MC04,Upper,2016-07-28,Summer,M,15.9,0,0,0,0,0,0,0
119,40.38604147,-111.4347176,MC05,Upper,2016-07-28,Summer,M,17.5,0.01,0.3,0.02,0.01,0.01,0.01,0
120,40.39472968,-111.4455208,MC06,Lower,2016-07-28,Summer,M,19.6,0.54,15.3,1.22,0.46,0.76,0.76,0
121,40.4018619,-111.459279,MC07,Lower,2016-07-28,Summer,M,21.8,0.48,13.6,0.56,0.19,0.37,0.35,0.02
122,40.40413866,-111.4654134,MC08,Lower,2016-07-28,Summer,M,22.4,0.39,11,0.67,0.32,0.35,0.33,0.02
123,40.40631407,-111.4723729,MC09,Lower,2016-07-28,Summer,M,23.2,0.4,11.3,0.87,0.33,0.54,0.51,0.03
124,40.40965002,-111.4784938,MC10,Lower,2016-07-28,Summer,M,24,2.38,67.4,2.7,1.21,1.48,1.35,0.13
125,40.34323751,-111.4098996,LHC01,Upper,2016-07-28,Summer,L,5.53,0.64,18.1,0.29,0,0.29,0.29,0
126,40.36189332,-111.4079966,LHC03,Upper,2016-07-28,Summer,L,8,0,0,0,0,0,0,0
127,40.37567584,-111.4246417,LHC04,Upper,2016-07-28,Summer,L,10.4,0,0,0,0,0,0,0
128,40.34765666,-111.4028916,LHC02,Upper,2016-07-28,Summer,L,6.58,0.11,3.1,0.12,0.07,0.05,0.04,0.01
129,40.38636757,-111.4226418,SC01,Lower,2016-07-28,Summer,S,0.12,2.35,66.5,1.93,0.13,1.8,1.8,0
130,40.38997727,-111.4316945,SC03,Lower,2016-07-28,Summer,S,1.11,0,0,0,0,0,0,0
131,40.39821756,-111.4380473,SC04,Lower,2016-07-28,Summer,S,2.37,0.1,2.8,0.32,0.26,0.06,0.06,0
132,40.40197848,-111.4505074,SC06,Lower,2016-07-28,Summer,S,4.13,0.91,25.8,0.85,0.46,0.39,0.31,0.08
133,40.40300907,-111.4591105,SC07,Lower,2016-07-28,Summer,S,5.17,0.26,7.4,0.4,0.25,0.14,0.14,0
