id,lat,long,site,half,date,season,stream,dist,cfs,ls,tp,pp,tdp,drp,dop,tp,pp,tdp,drp,dop
53,40.38636757,-111.4226418,SC01,Lower,2015-07-29,Summer,S,0.12,2.73,77.3,0.029,0.002,0.027,0.026,0.002,2.24,0.15,2.09,1.97,0.12
54,40.38997727,-111.4316945,SC03,Lower,2015-07-29,Summer,S,1.11,0.00,0.0,dry,dry,dry,dry,dry,0.00,0.00,0.00,0.00,0.00
55,40.39821756,-111.4380473,SC04,Lower,2015-07-29,Summer,S,2.37,0.91,25.8,0.204,0.188,0.016,0.010,0.006,5.26,4.84,0.41,0.26,0.15
56,40.40197848,-111.4505074,SC06,Lower,2015-07-29,Summer,S,4.13,0.81,22.9,0.022,0.009,0.013,0.008,0.005,0.50,0.21,0.30,0.18,0.11
57,40.40300907,-111.4591105,SC07,Lower,2015-07-29,Summer,S,5.17,0.25,7.1,0.134,0.015,0.119,0.095,0.025,0.95,0.11,0.84,0.67,0.17
58,40.33435765,-111.3794539,MC01,Upper,2015-11-06,Autumn,M,9.11,1.73,49.0,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.00,0.00
59,40.35729228,-111.394846,MC02,Upper,2015-11-06,Autumn,M,12.10,0.30,8.5,0.007,0.000,0.007,0.000,0.007,0.06,0.00,0.06,0.00,0.06
60,40.36984777,-111.4035923,MC03,Upper,2015-11-06,Autumn,M,13.80,0.59,16.7,0.012,0.003,0.009,0.000,0.009,0.20,0.05,0.15,0.00,0.15
61,40.37932339,-111.4215613,MC04,Upper,2015-11-06,Autumn,M,15.90,0.00,0.0,dry,dry,dry,dry,dry,0.00,0.00,0.00,0.00,0.00
62,40.38604147,-111.4347176,MC05,Upper,2015-11-06,Autumn,M,17.50,0.06,1.7,0.020,0.020,0.000,0.000,0.000,0.03,0.03,0.00,0.00,0.00
63,40.39472968,-111.4455208,MC06,Lower,2015-11-06,Autumn,M,19.60,0.19,5.4,0.045,0.004,0.041,0.029,0.012,0.24,0.02,0.22,0.15,0.07
64,40.4018619,-111.459279,MC07,Lower,2015-11-06,Autumn,M,21.80,0.60,17.0,0.028,0.015,0.012,0.009,0.003,0.47,0.26,0.21,0.15,0.06
65,40.40413866,-111.4654134,MC08,Lower,2015-11-06,Autumn,M,22.40,1.25,35.4,0.058,0.043,0.015,0.011,0.005,2.04,1.51,0.53,0.37,0.16
66,40.40631407,-111.4723729,MC09,Lower,2015-11-06,Autumn,M,23.20,0.99,28.0,0.085,0.068,0.017,0.014,0.004,2.39,1.91,0.48,0.38,0.10
67,40.40965002,-111.4784938,MC10,Lower,2015-11-06,Autumn,M,24.00,1.27,36.0,0.035,0.018,0.017,0.015,0.002,1.26,0.64,0.61,0.54,0.08
68,40.34323751,-111.4098996,LHC01,Upper,2015-11-06,Autumn,L,5.53,0.84,23.8,0.025,0.002,0.023,0.000,0.023,0.59,0.05,0.54,0.00,0.54
69,40.36189332,-111.4079966,LHC03,Upper,2015-11-06,Autumn,L,8.00,1.16,32.8,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.00,0.00
70,40.37567584,-111.4246417,LHC04,Upper,2015-11-06,Autumn,L,10.40,0.16,4.5,0.031,0.005,0.026,0.017,0.010,0.14,0.02,0.12,0.07,0.04
71,40.34765666,-111.4028916,LHC02,Upper,2015-11-06,Autumn,L,6.58,0.05,1.4,0.011,0.011,0.000,0.000,0.000,0.02,0.02,0.00,0.00,0.00
72,40.38636757,-111.4226418,SC01,Lower,2015-11-06,Autumn,S,0.12,2.23,63.1,0.025,0.005,0.020,0.020,0.000,1.58,0.30,1.28,1.26,0.01
73,40.38997727,-111.4316945,SC03,Lower,2015-11-06,Autumn,S,1.11,1.10,31.1,0.030,0.004,0.026,0.024,0.002,0.93,0.12,0.81,0.75,0.06
74,40.39821756,-111.4380473,SC04,Lower,2015-11-06,Autumn,S,2.37,0.91,25.8,0.042,0.015,0.028,0.023,0.005,1.09,0.37,0.72,0.58,0.14
75,40.40197848,-111.4505074,SC06,Lower,2015-11-06,Autumn,S,4.13,1.50,42.5,0.032,0.012,0.020,0.017,0.004,1.36,0.51,0.86,0.70,0.16
76,40.40300907,-111.4591105,SC07,Lower,2015-11-06,Autumn,S,5.17,0.67,19.0,0.079,0.059,0.020,0.020,0.000,1.50,1.12,0.38,0.38,0.00
77,40.33435765,-111.3794539,MC01,Upper,2016-02-20,Winter,M,9.11,1.27,36.0,0.007,0.000,0.007,0.000,0.007,0.25,0.00,0.25,0.00,0.25
78,40.35729228,-111.394846,MC02,Upper,2016-02-20,Winter,M,12.10,0.13,3.7,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.00,0.00
79,40.36984777,-111.4035923,MC03,Upper,2016-02-20,Winter,M,13.80,1.49,42.2,0.012,0.000,0.012,0.000,0.012,0.51,0.00,0.51,0.00,0.51
80,40.37932339,-111.4215613,MC04,Upper,2016-02-20,Winter,M,15.90,0.00,0.0,dry,dry,dry,dry,dry,0.00,0.00,0.00,0.00,0.00
81,40.38604147,-111.4347176,MC05,Upper,2016-02-20,Winter,M,17.50,1.82,51.5,0.015,0.007,0.008,0.000,0.008,0.78,0.36,0.42,0.00,0.42
82,40.39472968,-111.4455208,MC06,Lower,2016-02-20,Winter,M,19.60,1.16,32.8,0.035,0.001,0.034,0.014,0.021,1.15,0.03,1.12,0.44,0.67
83,40.4018619,-111.459279,MC07,Lower,2016-02-20,Winter,M,21.80,3.23,91.5,0.114,0.056,0.059,0.026,0.033,10.46,5.09,5.37,2.33,3.04
84,40.40413866,-111.4654134,MC08,Lower,2016-02-20,Winter,M,22.40,10.18,288.3,0.161,0.072,0.089,0.041,0.049,46.35,20.70,25.66,11.67,13.98
85,40.40631407,-111.4723729,MC09,Lower,2016-02-20,Winter,M,23.20,9.67,273.8,0.174,0.086,0.088,0.066,0.022,47.65,23.60,24.04,18.07,5.97
86,40.40965002,-111.4784938,MC10,Lower,2016-02-20,Winter,M,24.00,13.04,369.3,0.109,0.032,0.078,0.035,0.043,40.29,11.63,28.65,12.74,15.91
87,40.34323751,-111.4098996,LHC01,Upper,2016-02-20,Winter,L,5.53,no_access,no_access,no_access,no_access,no_access,no_access,no_access,no_access,no_access,no_access,no_access,no_access
88,40.36189332,-111.4079966,LHC03,Upper,2016-02-20,Winter,L,8.00,1.33,37.7,0.010,0.000,0.010,0.000,0.010,0.38,0.00,0.38,0.00,0.38
89,40.37567584,-111.4246417,LHC04,Upper,2016-02-20,Winter,L,10.40,0.74,21.0,0.016,0.001,0.015,0.000,0.015,0.34,0.03,0.31,0.00,0.31
